,action,img_path,user_x,lat,lon
0,14,./ETRI_data_RP_png/user02/1600700400/RP/1600764900.png,user02,37.52151843333333,127.03271143333332
2,13,./ETRI_data_RP_png/user04/1600207800/RP/1600250280.png,user04,37.475682160000005,127.1278829
7,14,./ETRI_data_RP_png/user02/1600614000/RP/1600650540.png,user02,37.52151694444444,127.03268736666664
10,14,./ETRI_data_RP_png/user03/1598886300/RP/1598939100.png,user03,37.485372005,126.97756414
11,12,./ETRI_data_RP_png/user09/1600403400/RP/1600427880.png,user09,37.38150812,127.23047525
13,13,./ETRI_data_RP_png/user01/1600013400/RP/1600054140.png,user01,37.291014915,127.11665630500002
17,13,./ETRI_data_RP_png/user01/1600013400/RP/1600059840.png,user01,37.276131510000006,127.15250357499995
18,6,./ETRI_data_RP_png/user04/1598828400/RP/1598831100.png,user04,37.43493261818182,127.13882560000002
20,12,./ETRI_data_RP_png/user02/1599922800/RP/1599968580.png,user02,37.5297575,127.03755205384616
23,13,./ETRI_data_RP_png/user01/1600614000/RP/1600624860.png,user01,37.477993275,126.96145744000005
24,6,./ETRI_data_RP_png/user01/1599442080/RP/1599465660.png,user01,37.48308518,127.01032504500002
26,12,./ETRI_data_RP_png/user09/1599436800/RP/1599465660.png,user09,37.38708987692308,127.2385123307692
31,13,./ETRI_data_RP_png/user01/1601002200/RP/1601005080.png,user01,37.482762570000006,127.01292178500005
36,13,./ETRI_data_RP_png/user03/1600448400/RP/1600488000.png,user03,37.52251375499999,127.01490061500002
38,12,./ETRI_data_RP_png/user09/1601071200/RP/1601099700.png,user09,37.38153574444444,127.23045895555556
39,6,./ETRI_data_RP_png/user02/1601046000/RP/1601099700.png,user02,37.5297844,127.03757638333332
43,13,./ETRI_data_RP_png/user04/1599522960/RP/1599531360.png,user04,37.491432235000005,127.03799803999998
44,12,./ETRI_data_RP_png/user09/1599181560/RP/1599189960.png,user09,37.387074,127.23844693333334
46,14,./ETRI_data_RP_png/user04/1600558200/RP/1600576620.png,user04,37.43492639090909,127.13885804545455
47,13,./ETRI_data_RP_png/user01/1600527600/RP/1600576620.png,user01,37.576325375,127.0011774625
48,13,./ETRI_data_RP_png/user03/1600533000/RP/1600576620.png,user03,37.67108027000001,127.48820085
56,14,./ETRI_data_RP_png/user01/1600450920/RP/1600506420.png,user01,37.4831797375,127.0123358
58,14,./ETRI_data_RP_png/user04/1600726800/RP/1600758480.png,user04,37.47770404166667,127.12244964166668
62,14,./ETRI_data_RP_png/user01/1599269580/RP/1599303420.png,user01,37.48405029999999,127.01369589999996
64,6,./ETRI_data_RP_png/user04/1599001800/RP/1599053700.png,user04,37.43495416363636,127.13886410909092
66,13,./ETRI_data_RP_png/user03/1600707600/RP/1600767180.png,user03,37.5598117047619,126.97975121904764
71,6,./ETRI_data_RP_png/user28/1599347820/RP/1599354840.png,user28,37.44628337272727,126.68068272727272
72,13,./ETRI_data_RP_png/user04/1599261300/RP/1599270600.png,user04,36.10297224,127.01787219
73,12,./ETRI_data_RP_png/user01/1599269580/RP/1599270600.png,user01,37.4823895625,126.9562535125
74,6,./ETRI_data_RP_png/user27/1599145200/RP/1599210060.png,user27,37.529714133333336,127.00836915833334
77,14,./ETRI_data_RP_png/user04/1600640400/RP/1600677780.png,user04,37.47769495833334,127.12252076666664
78,6,./ETRI_data_RP_png/user06/1601478000/RP/1601541720.png,user06,37.513682675,127.04581684999998
84,6,./ETRI_data_RP_png/user26/1599404400/RP/1599448740.png,user26,37.49298290000001,127.0287953
85,14,./ETRI_data_RP_png/user03/1600792200/RP/1600858860.png,user03,37.560586375,126.9800197625
94,6,./ETRI_data_RP_png/user26/1600441200/RP/1600526700.png,user26,37.278513675,127.16351998333334
95,6,./ETRI_data_RP_png/user06/1600734060/RP/1600735920.png,user06,37.51366852500001,127.04585095999998
96,14,./ETRI_data_RP_png/user01/1600731000/RP/1600735920.png,user01,37.48318577,127.01231686
99,14,./ETRI_data_RP_png/user04/1600640400/RP/1600651500.png,user04,37.47766550833333,127.12227925
100,13,./ETRI_data_RP_png/user04/1600122300/RP/1600135800.png,user04,37.54745305,127.072142365
101,14,./ETRI_data_RP_png/user02/1600786800/RP/1600850460.png,user02,37.52151643333334,127.03270662222222
111,6,./ETRI_data_RP_png/user04/1600986000/RP/1600988220.png,user04,37.43511897692308,127.13827093846156
112,6,./ETRI_data_RP_png/user03/1600963200/RP/1600988220.png,user03,37.485419325,126.9776167875
113,12,./ETRI_data_RP_png/user09/1600299000/RP/1600328700.png,user09,37.387084525,127.23847634166668
115,14,./ETRI_data_RP_png/user01/1600315920/RP/1600328700.png,user01,37.48318947777778,127.0123660111111
116,6,./ETRI_data_RP_png/user26/1600268400/RP/1600328700.png,user26,37.49292173157895,127.02911313684211
117,14,./ETRI_data_RP_png/user03/1600876800/RP/1600911300.png,user03,37.56047186666667,126.97992606666664
118,14,./ETRI_data_RP_png/user04/1600899900/RP/1600911300.png,user04,37.47766692,127.1222807
122,14,./ETRI_data_RP_png/user01/1600315920/RP/1600342500.png,user01,37.48319844444444,127.01235005555556
126,12,./ETRI_data_RP_png/user09/1599694200/RP/1599697380.png,user09,37.387082291666665,127.23851808333332
130,12,./ETRI_data_RP_png/user09/1601071200/RP/1601106300.png,user09,37.38153407,127.23045985000002
132,13,./ETRI_data_RP_png/user02/1601046000/RP/1601106300.png,user02,37.52566779166666,127.02505910833334
133,14,./ETRI_data_RP_png/user04/1600207800/RP/1600235100.png,user04,37.47768170833333,127.12236554166664
135,6,./ETRI_data_RP_png/user01/1601085900/RP/1601095380.png,user01,37.48244345555556,126.9563033777778
138,6,./ETRI_data_RP_png/user06/1601046000/RP/1601095380.png,user06,37.51360974999999,127.045773845
143,13,./ETRI_data_RP_png/user01/1600013400/RP/1600090020.png,user01,37.482103245,127.01781801
150,6,./ETRI_data_RP_png/user28/1598972400/RP/1598994780.png,user28,37.44624838461538,126.68067104615383
153,14,./ETRI_data_RP_png/user04/1600470000/RP/1600493760.png,user04,37.434934258333335,127.13885673333334
154,6,./ETRI_data_RP_png/user26/1600441200/RP/1600493760.png,user26,37.2809779,127.1625343
155,13,./ETRI_data_RP_png/user01/1600450920/RP/1600493760.png,user01,37.48074594285715,127.01342810476189
158,12,./ETRI_data_RP_png/user02/1600592340/RP/1600601520.png,user02,37.52977831538461,127.03751950769232
160,14,./ETRI_data_RP_png/user01/1600527600/RP/1600601520.png,user01,37.483187783333335,127.01231208333331
162,6,./ETRI_data_RP_png/user06/1601046000/RP/1601093760.png,user06,37.513614110000006,127.045692515
164,13,./ETRI_data_RP_png/user01/1601085900/RP/1601093760.png,user01,37.48071559500001,127.01348072499998
171,12,./ETRI_data_RP_png/user09/1599340800/RP/1599396960.png,user09,37.38409641538462,127.2357826923077
172,13,./ETRI_data_RP_png/user01/1599581100/RP/1599582480.png,user01,37.482077585,127.069440845
173,13,./ETRI_data_RP_png/user04/1599001800/RP/1599014400.png,user04,37.60943213,127.030244005
174,6,./ETRI_data_RP_png/user26/1599006600/RP/1599014400.png,user26,37.278342275,127.16360027500002
175,6,./ETRI_data_RP_png/user26/1600095600/RP/1600154220.png,user26,37.27851279090909,127.16354389090908
176,14,./ETRI_data_RP_png/user04/1600122300/RP/1600154220.png,user04,37.47766980833333,127.12229024166668
179,12,./ETRI_data_RP_png/user01/1598832660/RP/1598879340.png,user01,37.48246963333333,126.95631071666666
182,12,./ETRI_data_RP_png/user02/1600592340/RP/1600603320.png,user02,37.52985128333333,127.03756523333332
184,12,./ETRI_data_RP_png/user09/1599609000/RP/1599617340.png,user09,37.38707121818181,127.2385304090909
188,6,./ETRI_data_RP_png/user02/1601046000/RP/1601096520.png,user02,37.52974185,127.03756656428573
191,12,./ETRI_data_RP_png/user09/1601071200/RP/1601099040.png,user09,37.38153189166667,127.23046695833334
193,12,./ETRI_data_RP_png/user09/1600403400/RP/1600418760.png,user09,37.38138267499999,127.23052459166666
194,14,./ETRI_data_RP_png/user04/1600380900/RP/1600418760.png,user04,37.47769534166667,127.12237089999996
203,12,./ETRI_data_RP_png/user09/1600041600/RP/1600081200.png,user09,37.38159177777778,127.23048761111112
204,13,./ETRI_data_RP_png/user01/1600013400/RP/1600081200.png,user01,37.48358525,127.0089838785714
205,13,./ETRI_data_RP_png/user01/1599269580/RP/1599313800.png,user01,37.48247486111112,126.95622787222224
208,13,./ETRI_data_RP_png/user04/1599261300/RP/1599313800.png,user04,37.45506142727272,127.14654781818182
210,13,./ETRI_data_RP_png/user04/1599261300/RP/1599272940.png,user04,35.13771265263157,126.79082396315786
213,6,./ETRI_data_RP_png/user01/1599269580/RP/1599272940.png,user01,37.48245464117647,126.95638221764706
214,13,./ETRI_data_RP_png/user04/1601163000/RP/1601177760.png,user04,37.43618573333334,127.1390719190476
216,13,./ETRI_data_RP_png/user01/1601166300/RP/1601177760.png,user01,37.351324,126.98854582
220,6,./ETRI_data_RP_png/user03/1600192800/RP/1600227120.png,user03,37.48535005499999,126.9776469
223,13,./ETRI_data_RP_png/user03/1599928800/RP/1600000080.png,user03,37.47458866666667,126.98185111428572
224,12,./ETRI_data_RP_png/user09/1599944400/RP/1600000080.png,user09,37.3840849,127.23578282500002
228,13,./ETRI_data_RP_png/user03/1600876800/RP/1600938120.png,user03,37.56058323846154,126.98009895384617
229,13,./ETRI_data_RP_png/user03/1600707600/RP/1600767900.png,user03,37.5265489625,126.9783595625
236,14,./ETRI_data_RP_png/user01/1600527600/RP/1600596180.png,user01,37.48315976666667,127.01228474166663
239,14,./ETRI_data_RP_png/user04/1599085500/RP/1599113880.png,user04,37.47773334166667,127.12240729999998
240,13,./ETRI_data_RP_png/user03/1600020000/RP/1600075800.png,user03,37.48538883157895,126.97756915789472
241,13,./ETRI_data_RP_png/user04/1600035000/RP/1600075800.png,user04,37.47511282499999,127.130851495
243,12,./ETRI_data_RP_png/user02/1599922800/RP/1599965460.png,user02,37.529762825000006,127.037574275
247,12,./ETRI_data_RP_png/user09/1600403400/RP/1600413300.png,user09,37.38139293846153,127.230512
248,6,./ETRI_data_RP_png/user03/1600371000/RP/1600413300.png,user03,37.485408250000006,126.977592525
249,14,./ETRI_data_RP_png/user04/1598912400/RP/1598937180.png,user04,37.47768556363636,127.1223706818182
250,13,./ETRI_data_RP_png/user01/1599269580/RP/1599310260.png,user01,37.48098565000001,127.0130102
252,14,./ETRI_data_RP_png/user03/1599584400/RP/1599632040.png,user03,37.48545826,126.97769686499998
254,6,./ETRI_data_RP_png/user26/1599578280/RP/1599632040.png,user26,37.278485090909086,127.16358907272728
255,13,./ETRI_data_RP_png/user01/1599922800/RP/1599986460.png,user01,37.460419405,127.04194086500002
260,6,./ETRI_data_RP_png/user26/1600701180/RP/1600754940.png,user26,37.49321213333333,127.02948939166669
261,14,./ETRI_data_RP_png/user04/1600726800/RP/1600754940.png,user04,37.47771503846154,127.12312544615384
262,14,./ETRI_data_RP_png/user02/1600700400/RP/1600754940.png,user02,37.521516175,127.03270864999998
263,6,./ETRI_data_RP_png/user26/1600182000/RP/1600230780.png,user26,37.27851065,127.163544375
264,13,./ETRI_data_RP_png/user03/1600192800/RP/1600230780.png,user03,37.51591801,126.98160812
265,13,./ETRI_data_RP_png/user04/1599859800/RP/1599911220.png,user04,37.53262449999999,127.00836186
266,12,./ETRI_data_RP_png/user02/1599893100/RP/1599911220.png,user02,37.529894308333326,127.03766509166668
267,6,./ETRI_data_RP_png/user26/1600701180/RP/1600754820.png,user26,37.49321714166666,127.02944563333334
268,6,./ETRI_data_RP_png/user26/1600873200/RP/1600920300.png,user26,37.279824366666666,127.153813
269,13,./ETRI_data_RP_png/user04/1600899900/RP/1600920300.png,user04,37.462277955,127.12606356999996
270,6,./ETRI_data_RP_png/user29/1599358260/RP/1599371400.png,user29,36.3654219,127.37424097857144
272,6,./ETRI_data_RP_png/user26/1599318000/RP/1599371400.png,user26,37.2783248090909,127.16342260000002
274,14,./ETRI_data_RP_png/user04/1600726800/RP/1600757640.png,user04,37.477678725,127.1223247
275,14,./ETRI_data_RP_png/user04/1600899900/RP/1600926420.png,user04,37.477677066666665,127.1223573777778
276,14,./ETRI_data_RP_png/user03/1600876800/RP/1600926420.png,user03,37.56047036666667,126.97991433333334
277,14,./ETRI_data_RP_png/user04/1598912400/RP/1598947920.png,user04,37.47771726363636,127.12245971818184
279,12,./ETRI_data_RP_png/user09/1600905600/RP/1600906860.png,user09,37.38709516666666,127.23848325833336
281,12,./ETRI_data_RP_png/user09/1599091740/RP/1599111600.png,user09,37.38711897142857,127.23839777142857
282,6,./ETRI_data_RP_png/user26/1599096600/RP/1599111600.png,user26,37.27834945833333,127.16355145833334
283,14,./ETRI_data_RP_png/user04/1599085500/RP/1599111600.png,user04,37.47767141333334,127.12292788666667
294,6,./ETRI_data_RP_png/user02/1601046000/RP/1601111940.png,user02,37.53537719166666,127.009764875
295,6,./ETRI_data_RP_png/user28/1598803200/RP/1598821320.png,user28,37.44628496666667,126.68068320833332
296,13,./ETRI_data_RP_png/user04/1599261300/RP/1599272100.png,user04,35.47838478571428,126.79149371428572
297,6,./ETRI_data_RP_png/user01/1599269580/RP/1599272100.png,user01,37.482400075,126.9563124
304,6,./ETRI_data_RP_png/user26/1599183000/RP/1599206580.png,user26,37.483971966666665,127.01057780476192
305,14,./ETRI_data_RP_png/user04/1600726800/RP/1600755900.png,user04,37.47774061666667,127.12252538333333
306,14,./ETRI_data_RP_png/user02/1600700400/RP/1600755900.png,user02,37.521514591666666,127.03270846666663
307,6,./ETRI_data_RP_png/user26/1600701180/RP/1600755900.png,user26,37.49323653636363,127.02945482727272
311,12,./ETRI_data_RP_png/user01/1599890820/RP/1599893820.png,user01,37.49808065,127.03757534166664
314,14,./ETRI_data_RP_png/user01/1600013400/RP/1600072560.png,user01,37.48322117499999,127.01243289999998
315,14,./ETRI_data_RP_png/user04/1600035000/RP/1600072560.png,user04,37.47770735,127.12244165
318,6,./ETRI_data_RP_png/user06/1601046000/RP/1601092680.png,user06,37.51365539523809,127.04576464285712
323,14,./ETRI_data_RP_png/user04/1600558200/RP/1600575480.png,user04,37.43493604166667,127.138873325
325,6,./ETRI_data_RP_png/user28/1600462500/RP/1600471620.png,user28,37.397947663636366,126.6339567818182
336,14,./ETRI_data_RP_png/user02/1600614000/RP/1600683600.png,user02,37.521526025,127.032702925
337,6,./ETRI_data_RP_png/user06/1600614000/RP/1600683600.png,user06,37.51372198999999,127.045949055
341,6,./ETRI_data_RP_png/user02/1601046000/RP/1601096460.png,user02,37.529741475,127.0375711
344,14,./ETRI_data_RP_png/user02/1600961640/RP/1601008500.png,user02,37.52152791111112,127.03272983333332
348,6,./ETRI_data_RP_png/user04/1599430860/RP/1599432540.png,user04,37.43494330833333,127.13888360833334
350,14,./ETRI_data_RP_png/user02/1600700400/RP/1600760640.png,user02,37.52151053333333,127.03271266666668
351,13,./ETRI_data_RP_png/user01/1599890820/RP/1599910440.png,user01,37.482321295000006,126.95124877
353,13,./ETRI_data_RP_png/user04/1599859800/RP/1599910440.png,user04,37.52211220625,127.0313838
358,12,./ETRI_data_RP_png/user24/1601081400/RP/1601089860.png,user24,37.70772021818181,126.77839386363638
361,13,./ETRI_data_RP_png/user04/1600122300/RP/1600162560.png,user04,37.47637970909091,127.1267566
366,14,./ETRI_data_RP_png/user04/1600122300/RP/1600155960.png,user04,37.47766505,127.12234825
368,13,./ETRI_data_RP_png/user03/1599928800/RP/1599978840.png,user03,37.47556679047619,126.98133823333336
375,12,./ETRI_data_RP_png/user24/1601081400/RP/1601085540.png,user24,37.70769818333333,126.77840298333332
379,13,./ETRI_data_RP_png/user01/1599269580/RP/1599313320.png,user01,37.48256568461538,126.95391077692308
381,13,./ETRI_data_RP_png/user04/1599261300/RP/1599313320.png,user04,37.4711069,127.12679654166668
382,13,./ETRI_data_RP_png/user04/1598828400/RP/1598841360.png,user04,37.54941619,127.092515345
384,6,./ETRI_data_RP_png/user27/1600139340/RP/1600144020.png,user27,37.52973886666667,127.0083623
387,13,./ETRI_data_RP_png/user04/1598828400/RP/1598847180.png,user04,37.634654575,127.020740915
390,12,./ETRI_data_RP_png/user09/1599436800/RP/1599471180.png,user09,37.38712186666667,127.23852901666667
395,13,./ETRI_data_RP_png/user03/1600876800/RP/1600939680.png,user03,37.5224837,126.974573825
399,6,./ETRI_data_RP_png/user02/1601046000/RP/1601117700.png,user02,37.5353847,127.00976029999998
402,13,./ETRI_data_RP_png/user04/1600640400/RP/1600691940.png,user04,37.48118574615385,127.14242562307692
406,13,./ETRI_data_RP_png/user01/1599922800/RP/1599993300.png,user01,37.38006392857143,127.11649302857144
407,14,./ETRI_data_RP_png/user02/1599922800/RP/1599993300.png,user02,37.52154285454545,127.0328815
416,6,./ETRI_data_RP_png/user03/1601141400/RP/1601194920.png,user03,37.48541377777778,126.97760615555556
420,14,./ETRI_data_RP_png/user01/1599269580/RP/1599287580.png,user01,37.48521322777778,127.01469589444446
422,13,./ETRI_data_RP_png/user04/1599261300/RP/1599287580.png,user04,35.350089825,126.388038275
424,12,./ETRI_data_RP_png/user01/1600831800/RP/1600863840.png,user01,37.482526695,126.956323665
425,14,./ETRI_data_RP_png/user03/1600792200/RP/1600863840.png,user03,37.560598977777786,126.98001875555556
